pwm;n1;n2;I1;I2;V;m
0;0;0;0.0;0.0;0.0;128001
10;65535;0;0.03;0.03;0.0;127489
10;65535;0;0.03;0.03;0.0;127489
10;65535;0;0.03;0.03;0.0;127489
10;65535;0;0.03;0.03;0.0;127489
10;65535;0;0.03;0.03;0.0;127489
10;65535;0;0.03;0.03;0.0;127489
10;65535;0;0.03;0.03;0.0;127489
20;65535;0;0.03;0.03;0.0;127489
20;65535;0;0.03;0.03;0.0;127489
20;65535;0;0.03;0.03;0.0;127489
20;65535;0;0.03;0.03;0.0;127489
20;65535;0;0.03;0.03;0.0;127489
20;65535;0;0.03;0.03;0.0;127489
20;65535;0;0.03;0.03;0.0;127489
20;65535;0;0.03;0.03;0.0;127489
20;65535;0;0.03;0.03;0.0;127489
20;65535;0;0.03;0.03;0.0;127489
20;65535;0;0.03;0.03;0.0;127489
30;65535;0;0.03;0.03;0.0;127489
30;65535;0;0.03;0.03;0.0;127489
30;65535;0;0.03;0.03;0.0;127489
30;65535;0;0.03;0.03;0.0;127489
30;65535;0;0.03;0.03;0.0;127489
30;65535;0;0.03;0.03;0.0;127489
30;65535;0;0.03;0.03;0.0;127489
30;65535;0;0.03;0.03;0.0;127489
30;65535;0;0.03;0.03;0.0;127489
30;65535;0;0.03;0.03;0.0;127489
30;65535;0;0.03;0.03;0.0;127489
40;65535;0;0.03;0.03;0.0;127489
40;65535;0;0.03;0.03;0.0;127489
40;65535;0;0.03;0.03;0.0;127489
40;65535;0;0.03;0.03;0.0;127489
40;65535;0;0.03;0.03;0.0;127489
40;65535;0;0.03;0.03;0.0;127489
40;65535;0;0.03;0.03;0.0;127489
40;65535;0;0.03;0.03;0.0;127489
40;65535;0;0.03;0.03;0.0;127489
40;65535;0;0.03;0.03;0.0;127489
40;65535;0;0.03;0.03;0.0;127489
50;65535;0;0.03;0.03;0.0;127489
50;65535;0;0.03;0.03;0.0;127489
50;65535;0;0.03;0.03;0.0;127489
50;65535;0;0.03;0.03;0.0;127489
50;65535;0;0.03;0.03;0.0;127489
50;65535;0;0.03;0.03;0.0;127489
50;65535;0;0.03;0.03;0.0;127489
50;65535;0;0.03;0.03;0.0;127489
50;65535;0;0.03;0.03;0.0;127489
50;65535;0;0.03;0.03;0.0;127489
50;65535;0;0.03;0.03;0.0;127489
60;65535;0;0.03;0.03;0.0;127489
60;65535;0;0.03;0.03;0.0;127489
60;65535;0;0.03;0.03;0.0;127489
60;65535;0;0.03;0.03;0.0;127489
60;65535;0;0.03;0.03;0.0;127489
60;65535;0;0.03;0.03;0.0;127489
60;65535;0;0.03;0.03;0.0;127489
60;65535;0;0.03;0.03;0.0;127489
60;65535;0;0.03;0.03;0.0;127489
60;65535;0;0.03;0.03;0.0;127489
60;65535;0;0.03;0.03;0.0;127489
70;65535;0;0.03;0.03;0.0;127489
70;65535;0;0.03;0.03;0.0;127489
70;65535;0;0.03;0.03;0.0;127489
70;65535;0;0.03;0.03;0.0;127489
70;65535;0;0.03;0.03;0.0;127489
70;65535;0;0.03;0.03;0.0;127489
70;65535;0;0.03;0.03;0.0;127489
70;65535;0;0.03;0.03;0.0;127489
70;65535;0;0.03;0.03;0.0;127489
70;65535;0;0.03;0.03;0.0;127489
70;65535;0;0.03;0.03;0.0;127489
80;65535;0;0.03;0.03;0.0;127489
80;65535;0;0.03;0.03;0.0;127489
80;65535;0;0.03;0.03;0.0;127489
80;65535;0;0.03;0.03;0.0;127489
80;65535;0;0.03;0.03;0.0;127489
80;65535;0;0.03;0.03;0.0;127489
80;65535;0;0.03;0.03;0.0;127489
80;65535;0;0.03;0.03;0.0;127489
80;65535;0;0.03;0.03;0.0;127489
80;65535;0;0.03;0.03;0.0;127489
80;65535;0;0.03;0.03;0.0;127489
90;65535;0;0.03;0.03;0.0;127489
90;65535;0;0.03;0.03;0.0;127489
90;65535;0;0.03;0.03;0.0;127489
90;65535;0;0.03;0.03;0.0;127489
90;65535;0;0.03;0.03;0.0;127489
90;65535;0;0.03;0.03;0.0;127489
90;65535;0;0.03;0.03;0.0;127489
90;65535;0;0.03;0.03;0.0;127489
90;65535;0;0.03;0.03;0.0;127489
90;65535;0;0.03;0.03;0.0;127489
90;65535;0;0.03;0.03;0.0;127489
100;65535;0;0.03;0.03;0.0;127489
100;65535;0;0.03;0.03;0.0;127489
100;65535;0;0.03;0.03;0.0;127489
100;65535;0;0.03;0.03;0.0;127489
100;65535;0;0.03;0.03;0.0;127489
100;65535;0;0.03;0.03;0.0;127489
100;65535;0;0.03;0.03;0.0;127489
100;65535;0;0.03;0.03;0.0;127489
100;65535;0;0.03;0.03;0.0;127489
100;65535;0;0.03;0.03;0.0;127489
100;65535;0;0.03;0.03;0.0;127489
